GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GK20A, 1, 2048, 1984385024, 65536, 1, 1, 852000, 1, 1
clockPerSec,1000000
FPS=2.52396
Clock = 12720863.000000, Chrono = 14851131, TimeR = 15.000000
Clock = 39620244.000000, Chrono = 76968120, TimeR = 77.000000

transTime, transClock, feedNetTime, feedNetClock, netTime, netClock
11279, 22322, 782, 785, 1215564, 1090253
14015, 24827, 859, 860, 1206175, 1090082
11136, 21797, 944, 807, 1203645, 1091020
10283, 20389, 797, 799, 1209509, 1091306
18500, 29471, 788, 790, 1206442, 1091661
10525, 20999, 764, 766, 1216365, 1091327
11978, 23742, 792, 794, 1207281, 1092327
14026, 24518, 883, 801, 1204021, 1092145
10448, 20775, 783, 785, 1207144, 1092142
11355, 21901, 780, 783, 1207322, 1093464
11085, 22150, 792, 793, 1216477, 1092336
11627, 22787, 786, 788, 1204565, 1091660
11681, 22999, 771, 774, 1200127, 1092260
10826, 21631, 790, 791, 1199651, 1092792
13072, 25824, 839, 790, 1202271, 1093124
13107, 25514, 775, 777, 1212442, 1091827
11424, 22827, 786, 788, 1199178, 1091854
11766, 22914, 789, 792, 1198900, 1091835
39033, 51235, 933, 806, 1200382, 1091814
10115, 20186, 775, 777, 1200498, 1091590
10483, 20420, 786, 788, 1209535, 1091146
12659, 16898, 841, 843, 1202747, 1091399
11468, 22759, 778, 781, 1198862, 1090779
11429, 22426, 783, 785, 1200543, 1089793
10593, 21026, 829, 854, 1189993, 1088767
12276, 23906, 768, 770, 1200967, 1089806
11143, 19064, 768, 770, 1208553, 1090491
10206, 20330, 790, 791, 1202225, 1091071
10805, 19669, 783, 786, 1199235, 1091034
11098, 21715, 784, 787, 1202888, 1091313
10793, 20212, 812, 794, 1201169, 1091829
10972, 21742, 779, 782, 1215036, 1091167
13281, 16075, 784, 787, 1204960, 1091582
11383, 22740, 780, 783, 1200599, 1092190
12411, 24770, 798, 801, 1204675, 1092404
12010, 23572, 773, 775, 1205346, 1091897
12859, 21961, 790, 792, 1212663, 1090426
12451, 19180, 771, 774, 1204068, 1091571
11476, 22916, 773, 775, 1201421, 1091426
11250, 22462, 795, 797, 1199846, 1092759
12121, 16438, 796, 797, 1199919, 1092775
10811, 21434, 752, 754, 1205317, 1092395
11392, 22715, 790, 793, 1198853, 1092940
12895, 19818, 787, 789, 1197395, 1092283
10453, 20887, 787, 790, 1193979, 1090073
10571, 20814, 828, 830, 1193263, 1089442
10271, 20333, 2664, 883, 1219805, 1090729
11077, 21805, 882, 846, 1184948, 1088796
11987, 18248, 795, 797, 1196452, 1090234
10247, 20273, 768, 770, 1192894, 1090891
15505, 30722, 787, 789, 1196662, 1090461
11051, 21952, 795, 797, 1209381, 1091253
20542, 22832, 787, 789, 1195475, 1091747
12144, 24067, 771, 773, 1200010, 1092986
10758, 21383, 823, 787, 1196986, 1092509
11347, 22029, 771, 773, 1198935, 1092404
10452, 20526, 769, 771, 1211515, 1091192
10523, 20905, 792, 795, 1197348, 1091829
11320, 22494, 782, 784, 1198683, 1090811
10808, 21466, 791, 793, 1197333, 1090109
16239, 24210, 915, 869, 1187048, 1089369
10434, 20693, 780, 783, 1198879, 1090102
10969, 21779, 788, 791, 1205632, 1089398
12297, 23410, 787, 789, 1197457, 1090566
16618, 24476, 782, 785, 1198919, 1090766
12039, 23800, 793, 795, 1197445, 1091418
11194, 22191, 769, 772, 1202728, 1091837
11720, 23177, 786, 788, 1207655, 1091352
14448, 28661, 803, 805, 1202176, 1092142
11254, 22466, 786, 788, 1199682, 1094598
12308, 24289, 796, 797, 1200335, 1092516
10478, 20592, 783, 786, 1201104, 1092345
12069, 23899, 1269, 799, 1209070, 1092800
12384, 24291, 771, 773, 1198161, 1092310
10913, 21661, 798, 799, 1201663, 1091150
12571, 24963, 794, 796, 1198477, 1092189
24608, 30964, 908, 869, 1193847, 1090065
12384, 20266, 2392, 820, 1210083, 1090314
10550, 20766, 831, 833, 1189470, 1089473
10892, 21665, 782, 785, 1200852, 1089927
14981, 18547, 792, 795, 1200338, 1090599
10447, 20714, 764, 766, 1200513, 1090672
10762, 21149, 789, 791, 1211030, 1090801
11384, 22275, 787, 789, 1202051, 1091809
11393, 22752, 790, 792, 1203686, 1092123
15515, 27678, 791, 792, 1200562, 1091306
10929, 21839, 796, 799, 1204420, 1092082
14448, 28525, 768, 771, 1213961, 1091920
11637, 17119, 775, 778, 1205195, 1092502
GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GK20A, 1, 2048, 1984385024, 65536, 1, 1, 852000, 1, 1
clockPerSec,1000000
FPS=2.79094
