mode: serial True, gpu False
GPU use = False
transTime, feedNetTime, netTime
11719.9420929, 817.060470581, 1087383.98552
12702.9418945, 802.040100098, 1089540.00473
11818.8858032, 816.822052002, 1087202.07214
12722.9690552, 840.902328491, 1089416.02707
11604.0706635, 818.967819214, 1087607.86057
11906.1470032, 799.894332886, 1089320.1828
11628.8661957, 808.954238892, 1087019.20509
11641.0255432, 788.927078247, 1089518.07022
11721.1341858, 793.933868408, 1087495.08858
12062.7880096, 788.927078247, 1089184.99947
11745.2144623, 910.043716431, 1088350.0576
12048.9597321, 804.901123047, 1089374.0654
11590.0039673, 818.014144897, 1087337.01706
11784.0766907, 796.07963562, 1088768.95905
11793.8518524, 749.826431274, 1243185.04333
26423.9311218, 1079.08248901, 1252784.01375
12128.1147003, 889.06288147, 1280658.00667
12892.9615021, 879.049301147, 1200412.98866
12715.1012421, 869.989395142, 1241696.83456
13147.1157074, 973.93989563, 1185225.00992
11662.0063782, 784.158706665, 1332516.90865
24106.9793701, 1357.07855225, 1222610.95047
11141.0617828, 763.893127441, 1180677.89078
12661.9338989, 797.986984253, 1190996.17004
12158.1554413, 782.012939453, 1183480.97801
11725.1873016, 922.918319702, 1174593.21022
11512.0410919, 781.059265137, 1186028.95737
11559.009552, 793.933868408, 1192167.04369
11561.1553192, 783.920288086, 1184790.13443
11415.0047302, 788.927078247, 1186571.12122
11662.9600525, 802.040100098, 1176687.95586
12184.1430664, 802.993774414, 1202260.0174
18646.0018158, 758.88633728, 1184825.18196
11934.9956512, 773.191452026, 1189851.99928
18271.2078094, 828.02772522, 1182757.13921
11888.9808655, 807.046890259, 1201225.04234
18290.0428772, 740.051269531, 1181702.85225
11872.0531464, 774.86038208, 1194612.97989
14103.1742096, 3880.0239563, 1185371.87576
11348.0091095, 854.015350342, 1208360.91042
12119.0547943, 779.151916504, 1181046.96274
11611.9384766, 782.96661377, 1195508.00323
16276.1211395, 835.180282593, 1189216.85219
11610.9848022, 861.883163452, 1208937.16812
11832.9524994, 810.861587524, 1195466.04156
11403.0838013, 804.901123047, 1209407.09114
11191.1296844, 941.038131714, 1199981.92787
18949.9855042, 782.012939453, 1205645.08438
11098.1464386, 834.941864014, 1200613.97552
12895.1072693, 797.033309937, 1200623.03543
11101.0074615, 872.850418091, 1197754.14467
11889.9345398, 785.827636719, 1212788.10501
19373.8937378, 906.944274902, 1199860.09598
11816.9784546, 787.973403931, 1201760.05363
11696.100235, 782.96661377, 1203432.08313
19168.138504, 926.01776123, 1207031.96526
11647.939682, 840.187072754, 1202606.91643
12592.0772552, 810.861587524, 1204249.1436
12556.0760498, 858.068466187, 1200533.86688
11623.8594055, 792.026519775, 1204161.8824
12547.0161438, 851.86958313, 1207570.07599
11619.0910339, 771.999359131, 1202262.16316
11240.0054932, 842.809677124, 1219971.17996
11775.970459, 766.99256897, 1207659.00612
11188.0302429, 807.046890259, 1205991.98341
11940.9561157, 689.98336792, 1214905.02357
11593.1034088, 806.093215942, 1222303.86734
12166.9769287, 808.000564575, 1217144.01245
12904.1671753, 877.857208252, 1188794.13605
12074.9473572, 801.086425781, 1207610.84557
11835.8135223, 820.875167847, 1207767.96341
20642.9958344, 865.936279297, 1196091.89034
11416.1968231, 812.05368042, 1208012.81929
