Detection method: Serial
Clock = 572368319.000000, Chrono = 630752219, TimeR = 631.000000
Clock = 572368325.000000, Chrono = 630752222, TimeR = 631.000000

GPU use = 0
clockPerSec,1000000
FPS=0.873563
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
14666, 16, 1185585, 11638, 20, 1085659
11297, 17, 1192227, 11173, 21, 1087424
11541, 16, 1191187, 11409, 21, 1085758
12206, 16, 1190187, 11933, 19, 1087124
11879, 16, 1194764, 11737, 21, 1086998
11518, 16, 1190849, 10871, 20, 1086848
11700, 17, 1192201, 11698, 21, 1087085
19996, 16, 1193263, 11708, 19, 1086905
11778, 16, 1190234, 11743, 20, 1087609
12653, 18, 1195782, 11902, 22, 1087870
11813, 16, 1193485, 11771, 22, 1086258
12206, 17, 1192114, 11917, 22, 1088055
11416, 17, 1194679, 11237, 21, 1086892
12088, 16, 1192793, 11843, 20, 1087993
10294, 17, 1191184, 10259, 21, 1085705
11941, 16, 1196374, 11789, 20, 1088319
11787, 16, 1190768, 11753, 20, 1086718
11766, 16, 1194807, 11763, 20, 1087352
11939, 16, 1190080, 11806, 20, 1085653
15652, 16, 1192405, 12268, 20, 1086615
11889, 17, 1191485, 11761, 20, 1086459
15588, 18, 1180336, 11450, 23, 1084212
11506, 16, 1193957, 11455, 20, 1087655
11845, 16, 1198873, 11712, 20, 1085237
11916, 16, 1191098, 11775, 20, 1086694
11288, 16, 1186744, 10863, 20, 1085481
15821, 18, 1179497, 12171, 40, 1084701
10975, 33, 1200157, 10736, 38, 1088097
11869, 16, 1185771, 11767, 20, 1085855
12238, 15, 1200038, 11796, 19, 1087929
11004, 17, 1184161, 10894, 21, 1085754
13805, 15, 1199214, 12103, 19, 1086772
11731, 16, 1183443, 11729, 20, 1086088
14803, 17, 1182885, 11883, 21, 1085036
11748, 16, 1185383, 11721, 20, 1087766
10898, 16, 1197844, 10759, 21, 1085923
11108, 17, 1176334, 10398, 22, 1084899
11887, 16, 1189382, 11750, 20, 1088506
17962, 15, 1177139, 11543, 19, 1084341
11863, 16, 1197331, 11763, 20, 1088239
10337, 16, 1188573, 10202, 20, 1086603
