mode: serial True, gpu False
GPU use = False
transTime, feedNetTime, netTime
10873.0792999, 796.07963562, 1196767.80701
27009.9639893, 2745.15151978, 1183059.9308
11008.97789, 783.920288086, 1195044.04068
12797.1172333, 819.92149353, 1194422.96028
10668.0393219, 697.85118103, 1195763.11111
11488.9144897, 807.046890259, 1196531.77261
13381.0043335, 792.980194092, 1193378.92532
12376.0700226, 830.888748169, 1199193.95447
10993.0038452, 784.158706665, 1208663.94043
19609.9281311, 777.006149292, 1187272.07184
11712.0742798, 770.092010498, 1199656.00967
13087.9878998, 801.086425781, 1194041.96739
10810.136795, 797.033309937, 1207809.92508
11490.8218384, 767.946243286, 1197745.08476
18270.0157166, 829.935073853, 1183627.1286
11569.0231323, 729.79927063, 1195962.19063
15729.9041748, 844.955444336, 1206828.83263
12323.8563538, 866.889953613, 1192850.11292
10720.0145721, 802.993774414, 1198158.02574
12116.9090271, 778.913497925, 1192507.02858
10843.9922333, 777.959823608, 1206140.04135
11353.969574, 807.046890259, 1194511.17516
10930.0613403, 788.927078247, 1195216.89415
11921.8826294, 800.848007202, 1190304.04091
11291.9807434, 782.012939453, 1196825.98114
12835.0257874, 875.949859619, 1195003.03268
10776.9966125, 726.938247681, 1191392.89856
11698.9612579, 823.974609375, 1207732.91588
11760.9500885, 823.974609375, 1195104.12216
11554.0027618, 808.954238892, 1194934.12971
11193.0370331, 797.986984253, 1196941.13731
19699.8119354, 808.000564575, 1207102.06032
10787.0101929, 804.18586731, 1194191.93268
11816.9784546, 802.993774414, 1196791.88728
10807.9910278, 800.848007202, 1193166.01753
11925.2204895, 786.066055298, 1208618.87932
13745.0695038, 893.831253052, 1203481.19736
11503.9348602, 739.097595215, 1195647.00127
10828.9718628, 802.993774414, 1195739.98451
11911.8690491, 807.046890259, 1195252.89536
19407.9875946, 853.061676025, 1184514.04572
11662.9600525, 785.827636719, 1196313.14278
15356.0638428, 1011.13319397, 1182224.03526
12221.0979462, 810.146331787, 1197082.99637
10951.9958496, 924.110412598, 1191371.91772
12192.0108795, 802.040100098, 1193341.01677
10839.2238617, 787.019729614, 1202708.95958
16134.9773407, 843.048095703, 1182293.89191
10720.9682465, 793.933868408, 1193116.90331
18571.138382, 839.948654175, 1181864.02321
10922.1935272, 801.086425781, 1205888.03291
11623.1441498, 896.93069458, 1191040.03906
10624.8855591, 796.794891357, 1191793.20335
12165.0695801, 1004.93431091, 1188920.97473
