transTime,feedNet,netTime
clockPerSec: ,1000000
11908,184,55906
13482,186,55184
11670,184,52238
10009,174,52034
12457,172,55834
12569,189,52747
20736,209,52172
11564,192,54891
13295,190,53446
13480,233,54357
11524,186,54950
11780,187,55907
11789,174,54897
11602,172,56932
9297,218,55719
11612,212,52427
12091,172,58669
12057,172,52266
11726,191,54678
11772,190,51840
11532,191,58388
11651,183,50031
11775,196,58123
11664,189,52986
11840,176,53570
11666,186,51921
11519,209,57027
10808,191,52186
13495,175,52127
11677,164,53521
11656,163,51983
11928,189,52234
11974,190,50656
12302,186,56766
11605,186,52071
20414,189,52692
13483,173,53874
11614,242,54716
11951,181,52322
18837,185,58346
11496,183,54936
11982,185,51691
11518,190,58727
16057,165,52126
21408,165,52048
16971,185,57169
11582,190,54572
11730,191,50326
21606,185,54062
9213,167,50501
17437,179,54364
21802,188,55708
17044,185,52077
13191,172,53440
20436,184,58335
11625,185,51624
21507,171,51785
14813,165,55259
11965,191,56255
18622,188,52071
14406,167,50364
11551,185,53145
11444,172,55933
12195,207,55809
28215,195,50506
18452,190,54110
21628,191,52499
15760,165,54712
13920,183,54852
13339,168,56014
11693,164,52953
11553,191,53591
14259,170,51904
10811,173,56221
11465,189,53498
14965,200,52125
11694,189,55771
11581,188,52206
3543,192,56029
11537,194,52307
15670,191,54495
14106,173,58506
11535,196,53423
15421,189,54656
3528,193,53555
11349,185,52824
11506,169,55480
11552,187,53384
15832,173,52234
12007,195,52056
11746,194,55842
17768,192,53819
11618,185,52305
12328,191,54564
16752,167,58828
3578,178,52028
5864,189,57169
12107,192,53354
11839,187,52190
29728,221,56864
11464,197,53446
11517,201,52172
15573,182,51944
11597,202,52122
3502,202,57318
11554,200,50469
12152,201,54240
16285,188,53595
11503,211,55289
11512,199,54664
3626,197,53440
14454,205,54784
12171,196,53438
3584,202,56520
12061,197,52234
11562,200,53241
11627,193,53884
11530,200,53382
4608,197,50452
11624,201,57575
