mode: serial False, gpu True
GPU use = True
transTime, feedNetTime, netTime, thread#1, thread#2
12077.0931244, 838.994979858, 600796.937943, 61856.9850922, 620003.938675
12023.9257812, 862.836837769, 577697.992325, 59270.1435089, 596826.076508
12135.9825134, 1872.06268311, 700134.992599, 62232.9711914, 720643.997192
12602.0908356, 7250.0705719, 716100.931168, 63184.9765778, 758586.883545
12646.1982727, 816.106796265, 643672.943115, 60186.8629456, 657896.04187
12588.0241394, 1220.94154358, 634222.984314, 65019.1307068, 660311.937332
12135.0288391, 1245.02182007, 588917.016983, 64262.1517181, 604696.035385
12539.8635864, 1850.12817383, 627738.952637, 63355.922699, 644644.975662
11794.090271, 7436.0370636, 617697.000504, 62829.9713135, 658071.041107
11934.9956512, 1202.82173157, 570510.149002, 67553.9970398, 586157.083511
12100.9349823, 824.928283691, 642843.008041, 65058.9466095, 658171.17691
11993.8850403, 1245.97549438, 690822.839737, 65446.8536377, 710916.996002
13338.0889893, 1830.10101318, 656445.980072, 67027.09198, 688827.991486
12040.1382446, 4714.012146, 613667.964935, 63522.8157043, 648915.052414
11972.9042053, 3799.91531372, 640079.021454, 66652.0595551, 667468.070984
12336.9693756, 1962.90016174, 594135.99968, 74586.8682861, 615154.981613
12054.2049408, 845.909118652, 643526.077271, 63286.0660553, 679704.904556
11274.09935, 815.153121948, 625787.973404, 64552.0687103, 651309.967041
16418.9338684, 820.875167847, 742055.177689, 69233.8943481, 758830.070496
13279.914856, 1236.20033264, 638428.926468, 63153.0284882, 654400.110245
12910.8428955, 800.132751465, 669794.797897, 65772.0565796, 684434.890747
12106.8954468, 808.000564575, 729677.915573, 65393.9247131, 756309.986115
12487.1730804, 1219.98786926, 612590.074539, 62089.2047882, 628041.028976
11940.0024414, 1798.15292358, 579704.999924, 63294.172287, 599204.063416
12351.0360718, 1250.98228455, 625604.152679, 64098.1197357, 644376.039505
12141.9429779, 822.067260742, 673599.004745, 62776.0887146, 700980.186462
12401.1039734, 804.18586731, 723378.896713, 65498.1136322, 749783.039093
11853.9333344, 1232.1472168, 738466.024399, 66035.0322723, 757865.905762
12060.880661, 1211.16638184, 676078.796387, 64243.0782318, 701732.873917
10862.827301, 2018.21327209, 738071.918488, 75073.0037689, 769551.038742
13259.8876953, 1220.22628784, 695484.876633, 71880.8174133, 716031.074524
12259.0065002, 1220.94154358, 636301.040649, 66836.8339539, 652147.054672
12403.9649963, 822.067260742, 641594.88678, 69026.9470215, 655507.087708
12279.0336609, 1841.06826782, 703120.946884, 69453.0010223, 719658.851624
12245.8934784, 912.90473938, 641561.985016, 67236.9003296, 669045.92514
12115.9553528, 825.881958008, 569401.979446, 68713.1881714, 583483.934402
12043.9529419, 819.92149353, 645394.086838, 69071.0544586, 659201.145172
