mode: serial False, gpu False,,,,,,
GPU use = False,,,,,,,
gpuStart, gpuEnd, cpuStart, cpuEnd,,,,
1.57829349480842E+015,1.57829349486556E+015,1.5782934945357E+015,1.57829349480006E+015,,57136,264359,-272720.75
1.57829349506597E+015,1.57829349511459E+015,1578293494800328,1.57829349500748E+015,,48619,207156.75,-265642.25
1578293495315005,1.57829349536278E+015,1.57829349500838E+015,1578293495205068,,47778.25,196687.5,-306624.5
1.57829349556319E+015,1578293495624063,1578293495205191,1.5782934954012E+015,,60875.5,196012.25,-357996.5
1.57829349562421E+015,1.57829349567053E+015,1578293495402081,1.57829349559349E+015,,46324.5,191406.75,-222125.25
1578293495871025,1.57829349591515E+015,1.57829349559483E+015,1.57829349578084E+015,,44126.75,186016.75,-276198.5
1.57829349611569E+015,1.57829349616339E+015,1578293495782001,1.57829349596559E+015,,47701,183591.25,-333689.25
1578293496163620,1.57829349621163E+015,1.57829349596581E+015,1578293496149046,,48008.25,183236.75,-197810.75
1.57829349641207E+015,1.57829349645658E+015,1.57829349615024E+015,1.57829349633085E+015,,44507.5,180617,-261833.5
1.57829349665735E+015,1.57829349671302E+015,1.57829349633103E+015,1.57829349651574E+015,,55667.75,184706.25,-326316.25
----------------,,,,,,,
mode: serial False, gpu False
GPU use = False
gpuStart, gpuEnd, cpuStart, cpuEnd
1578294024688991.2, 1578294024739097.5, 1578294024487178.8, 1578294024676175.5
1578294024939508.8, 1578294024988652.0, 1578294024677096.0, 1578294024878957.0
1578294025189072.5, 1578294025237634.2, 1578294024879078.5, 1578294025077895.8
1578294025438028.2, 1578294025489823.0, 1578294025078781.8, 1578294025274299.8
1578294025489915.2, 1578294025542314.2, 1578294025274478.0, 1578294025473685.5
1578294025742713.8, 1578294025793459.0, 1578294025474700.2, 1578294025683434.8
1578294025993895.8, 1578294026045533.0, 1578294025683643.5, 1578294025887412.5
1578294026246135.8, 1578294026296556.5, 1578294025888640.0, 1578294026089424.5
1578294026296640.8, 1578294026345750.5, 1578294026090433.5, 1578294026288510.0
1578294026546200.5, 1578294026598228.0, 1578294026289518.5, 1578294026487358.2
1578294026798795.0, 1578294026852190.2, 1578294026488283.0, 1578294026687656.2
----------------

mode: serial False, gpu False
GPU use = False
gpuStart, gpuEnd, cpuStart, cpuEnd
1578294057224799.5, 1578294057284440.0, 1578294056915115.2, 1578294057198781.5
1578294057484839.8, 1578294057531864.2, 1578294057199897.0, 1578294057398278.5
1578294057732268.5, 1578294057779479.5, 1578294057398452.2, 1578294057590628.5
1578294057979896.5, 1578294058030989.0, 1578294057590805.8, 1578294057783226.8
1578294058031208.2, 1578294058081466.8, 1578294057784100.2, 1578294057980449.8
1578294058281897.5, 1578294058329769.2, 1578294057981605.5, 1578294058180315.0
1578294058530192.0, 1578294058579004.8, 1578294058181164.8, 1578294058373591.2
1578294058579253.5, 1578294058628403.5, 1578294058373753.8, 1578294058565551.0
1578294058828827.0, 1578294058877549.0, 1578294058566457.8, 1578294058761732.0
1578294059078016.0, 1578294059124821.0, 1578294058762667.0, 1578294058954568.5
1578294059325247.2, 1578294059373197.8, 1578294058955465.2, 1578294059146006.2
1578294059373396.2, 1578294059421070.8, 1578294059146128.2, 1578294059334017.8
1578294059621609.5, 1578294059668363.8, 1578294059334202.8, 1578294059524218.2
1578294059868771.0, 1578294059918625.0, 1578294059524344.2, 1578294059716508.2
1578294059918879.8, 1578294059966401.2, 1578294059716622.5, 1578294059905488.8
1578294060166799.5, 1578294060214410.2, 1578294059905607.5, 1578294060096381.8
1578294060415035.2, 1578294060461966.2, 1578294060097287.5, 1578294060287999.2
1578294060662392.2, 1578294060712864.8, 1578294060288850.8, 1578294060479955.5
1578294060712953.2, 1578294060760241.8, 1578294060480119.5, 1578294060670441.2
1578294060960845.8, 1578294061008286.5, 1578294060671436.5, 1578294060863098.8
1578294061208773.8, 1578294061256570.5, 1578294060863211.2, 1578294061053530.8
1578294061256657.0, 1578294061304253.5, 1578294061054455.8, 1578294061244053.0
1578294061504618.0, 1578294061551546.5, 1578294061244240.8, 1578294061436413.2
1578294061752056.8, 1578294061867064.0, 1578294061436599.8, 1578294061627666.2
1578294061867305.5, 1578294061912043.8, 1578294061627779.0, 1578294061819154.2
1578294062112699.2, 1578294062157336.8, 1578294061819259.2, 1578294062002463.2
1578294062357807.2, 1578294062406989.5, 1578294062003294.2, 1578294062187704.5
1578294062407086.8, 1578294062455334.8, 1578294062188590.0, 1578294062373865.5
1578294062655842.8, 1578294062700497.8, 1578294062374741.8, 1578294062563726.5
1578294062901018.5, 1578294062949192.5, 1578294062564599.2, 1578294062749481.2
1578294062949395.8, 1578294062998067.8, 1578294062749594.8, 1578294062936193.5
1578294063198483.8, 1578294063244127.0, 1578294062936400.2, 1578294063124706.8
1578294063444629.8, 1578294063489799.8, 1578294063125724.5, 1578294063312613.0
1578294063690307.2, 1578294063740451.5, 1578294063312849.5, 1578294063497433.0
1578294063740539.0, 1578294063788735.2, 1578294063497621.0, 1578294063691492.5
1578294063989147.5, 1578294064034722.5, 1578294063692719.8, 1578294063883183.0
1578294064235117.0, 1578294064283849.5, 1578294063883308.5, 1578294064068140.0
1578294064283937.8, 1578294064334195.8, 1578294064069059.2, 1578294064256731.0
1578294064534624.5, 1578294064580039.2, 1578294064256967.8, 1578294064445967.8
1578294064780568.8, 1578294064827254.8, 1578294064446077.0, 1578294064631244.5
1578294064827458.8, 1578294064877256.2, 1578294064632156.2, 1578294064816894.8
1578294065077677.5, 1578294065124472.0, 1578294064817852.8, 1578294065003976.2
1578294065324989.8, 1578294065370162.8, 1578294065004812.2, 1578294065190612.8
1578294065570815.0, 1578294065627543.2, 1578294065191701.2, 1578294065377007.0
1578294065627798.5, 1578294065675574.5, 1578294065377823.0, 1578294065572218.0
1578294065876093.5, 1578294065923959.2, 1578294065573773.0, 1578294065772266.8
1578294066124486.0, 1578294066172265.2, 1578294065772378.0, 1578294065964968.8
1578294066172418.0, 1578294066221536.2, 1578294065965105.0, 1578294066154631.5
1578294066421953.0, 1578294066470808.2, 1578294066154768.2, 1578294066353125.5
1578294066671325.8, 1578294066720193.0, 1578294066354138.8, 1578294066553429.2
