Detection method: Serial
Clock = 344535258.000000, Chrono = 379613201, TimeR = 380.000000
Clock = 344535263.000000, Chrono = 379613204, TimeR = 380.000000

GPU use = 0
clockPerSec,1000000
FPS=0.870738
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
17164, 17, 1173482, 11078, 22, 1086012
10556, 16, 1189028, 10535, 21, 1089596
10588, 17, 1219622, 10553, 20, 1089284
10562, 17, 1192051, 10436, 21, 1089512
10589, 17, 1192388, 10466, 21, 1087003
11067, 18, 1211068, 10738, 23, 1087143
10580, 17, 1221329, 10538, 21, 1097062
11466, 18, 1118342, 11463, 23, 1117904
12206, 17, 1121105, 12201, 20, 1106324
10651, 17, 1202866, 10519, 21, 1089500
11561, 19, 1194030, 10991, 24, 1089819
10661, 18, 1201310, 10608, 22, 1089162
11048, 17, 1202028, 10679, 20, 1090579
10759, 17, 1189788, 10593, 21, 1088715
11157, 17, 1197426, 10942, 20, 1090428
11067, 17, 1205729, 10918, 21, 1087422
11076, 17, 1192606, 10802, 21, 1089065
11041, 17, 1196397, 10905, 20, 1088946
11252, 18, 1204789, 10889, 22, 1090320
10875, 17, 1208461, 10734, 21, 1088516
10560, 18, 1210675, 10558, 21, 1090981
11230, 18, 1189071, 10891, 21, 1085363
11009, 17, 1199187, 10907, 21, 1088565
20700, 18, 1217504, 10743, 21, 1088104
10488, 17, 1195482, 10486, 22, 1089709
11159, 17, 1198857, 10831, 21, 1088451
11123, 17, 1209333, 10870, 21, 1087429
11145, 16, 1203307, 10988, 21, 1089150
15189, 18, 1203276, 10629, 21, 1086671
10953, 17, 1211409, 10823, 21, 1090201
10721, 17, 1214025, 10398, 21, 1088496
10923, 17, 1209194, 10823, 22, 1087344
10859, 17, 1220155, 10856, 21, 1090023
11091, 18, 1205744, 10940, 22, 1087017
10833, 17, 1218033, 10791, 21, 1087984
18315, 16, 1204307, 11022, 20, 1089783
11152, 17, 1211457, 10910, 20, 1087909
10919, 17, 1209426, 10817, 22, 1086786
10975, 17, 1224463, 10851, 21, 1087117
11445, 17, 1211489, 11253, 22, 1088382
20105, 17, 1223334, 11455, 21, 1088036
11248, 17, 1210092, 11031, 21, 1086546
11735, 17, 1229073, 11631, 21, 1088686
11519, 17, 1220418, 11515, 21, 1090150
12262, 19, 1218060, 11989, 22, 1087282
10791, 17, 1241898, 10687, 22, 1086693
12206, 16, 1222943, 11777, 20, 1089146
11783, 17, 1225961, 11680, 20, 1088893
11832, 17, 1227286, 11657, 22, 1090742
11084, 18, 1227861, 10795, 23, 1088857
10528, 16, 1221990, 10481, 20, 1087409
11487, 17, 1234557, 11163, 21, 1087349
10743, 17, 1232485, 10619, 21, 1087480
11042, 17, 1227438, 11014, 22, 1087388
11099, 17, 1232630, 11049, 21, 1089481
10537, 17, 1226045, 10282, 21, 1088904
11793, 18, 1239272, 11477, 23, 1090052
11615, 16, 1218304, 11613, 20, 1088612
21366, 18, 1221808, 12131, 22, 1087059
10533, 17, 1237694, 10398, 20, 1087689
10671, 18, 1228531, 10614, 22, 1087493
11595, 17, 1225168, 11592, 20, 1088409
10673, 17, 1224445, 10623, 21, 1089238
11421, 17, 1230550, 11319, 21, 1089585
10444, 17, 1226590, 10327, 21, 1091740
12102, 17, 1222260, 11656, 20, 1088779
21630, 18, 1234317, 11784, 21, 1087463
18942, 17, 1224408, 10768, 21, 1086773
12458, 17, 1227542, 11625, 21, 1086311
11572, 17, 1223600, 11471, 21, 1087629
11232, 17, 1233548, 11120, 21, 1089120
22095, 17, 1225057, 12237, 22, 1086869
