Detection method: Pipeline
Clock = 37185088.000000, Chrono = 20211673, TimeR = 20.000000
Clock = 347643374.000000, Chrono = 369793215, TimeR = 369.000000

GPU use = 0
clockPerSec,1000000
FPS=0.862953
transTime, feedNetTime, netTime, thread#1, thread#2, transClock, feedNetClock, netClock
10506, 847, 1224453, 67089, 1225481, 20892, 848, 1091006
11099, 794, 1217147, 71312, 1218112, 21958, 798, 1097046
10885, 795, 1227842, 68104, 1228827, 21750, 797, 1094122
10828, 815, 1235133, 66380, 1236122, 21478, 817, 1094977
11878, 793, 1227319, 68410, 1228307, 23393, 796, 1090544
11004, 844, 1227356, 58741, 1228373, 21956, 847, 1090964
11764, 797, 1220277, 67096, 1221235, 22987, 800, 1095530
15693, 794, 1244398, 70299, 1245381, 29363, 796, 1094686
10403, 768, 1263705, 58374, 1264646, 20746, 771, 1091800
10624, 789, 1204145, 68367, 1205110, 21211, 792, 1095590
24125, 784, 1245677, 69919, 1246636, 36310, 787, 1094396
10784, 833, 1247005, 58101, 1248014, 21450, 808, 1090671
11363, 5000, 1238867, 80261, 1244042, 22567, 821, 1091866
16023, 849, 1235256, 79389, 1236298, 29823, 803, 1093855
14001, 792, 1242019, 73722, 1243002, 27063, 794, 1090909
11829, 834, 1234431, 55799, 1235447, 23304, 836, 1092282
16978, 805, 1241603, 64143, 1242645, 33852, 807, 1094460
11591, 796, 1243187, 57209, 1244169, 23124, 776, 1092664
11025, 794, 1236708, 52244, 1237677, 22033, 797, 1092327
11013, 807, 1233649, 55770, 1234641, 20412, 789, 1093198
12184, 819, 1242949, 58265, 1243954, 24057, 792, 1091267
11358, 931, 1241353, 52499, 1242464, 17646, 908, 1092636
10622, 909, 1231786, 57066, 1232877, 21113, 804, 1093178
11167, 788, 1226818, 59306, 1227822, 18025, 791, 1091601
12663, 5338, 1246396, 56419, 1251910, 25170, 824, 1092574
10650, 801, 1236821, 58131, 1237797, 20813, 802, 1097782
10367, 807, 1217892, 58764, 1218888, 20533, 809, 1091669
13561, 776, 1249525, 59333, 1250494, 26794, 779, 1092193
10935, 1016, 1204027, 58290, 1205223, 15276, 1000, 1094100
11547, 784, 1238686, 60003, 1239643, 23017, 786, 1093556
10645, 798, 1227559, 57119, 1228602, 20212, 801, 1091925
12107, 774, 1234449, 61082, 1235397, 24067, 776, 1091882
11012, 792, 1224911, 67033, 1225877, 21865, 794, 1090273
11513, 794, 1239673, 56458, 1240651, 16199, 796, 1095416
10530, 777, 1231202, 57794, 1232162, 20923, 780, 1091950
15959, 802, 1228770, 64590, 1229752, 30689, 803, 1090623
10830, 800, 1223870, 56871, 1224846, 21642, 803, 1092417
13646, 800, 1199430, 61836, 1200405, 26921, 802, 1097944
11219, 854, 1238630, 58063, 1239664, 14905, 813, 1092757
12134, 792, 1232227, 58470, 1233251, 24072, 794, 1095324
10511, 776, 1231033, 57400, 1232003, 18499, 778, 1091821
11993, 966, 1227670, 57694, 1228806, 23803, 967, 1090955
10240, 790, 1234445, 55677, 1235414, 20261, 793, 1094016
10720, 798, 1229952, 59455, 1230927, 21252, 800, 1093925
