mode: serial False, gpu False
GPU use = False
transTime, feedNetTime, netTime, thread#1, thread#2
11619.0910339, 324.010848999, 1189012.05063, 68441.8678284, 1201967.00096
11408.0905914, 322.103500366, 1190675.02022, 63094.1390991, 1203638.79204
10996.1032867, 308.036804199, 1188828.94516, 70125.1029968, 1201128.00598
13812.0651245, 303.030014038, 1200421.09489, 65834.9990845, 1212847.94807
10890.007019, 307.79838562, 1189768.07594, 64851.9992828, 1202034.95026
10970.8309174, 302.076339722, 1191503.04794, 62925.8155823, 1203377.00844
10967.0162201, 308.990478516, 1187378.88336, 66461.0862732, 1199808.12073
11380.9108734, 323.057174683, 1186223.03009, 66914.0815735, 1199059.00955
11223.077774, 323.057174683, 1200292.8257, 61650.0377655, 1212767.12418
13900.9952545, 423.192977905, 1187122.82181, 110569.000244, 1200082.06367
11050.9395599, 308.036804199, 1185945.03403, 69989.9196625, 1198357.10526
12233.9725494, 303.983688354, 1185189.00871, 65183.8779449, 1197543.14423
12190.1035309, 303.030014038, 1183026.07536, 104197.978973, 1194751.97792
10943.8896179, 313.04359436, 1190034.15108, 86173.0575562, 1209192.99126
11190.8912659, 308.990478516, 1177006.95992, 71179.8667908, 1193027.0195
11003.9710999, 789.880752563, 1173630.95284, 88140.9645081, 1192804.09813
11734.9624634, 303.030014038, 1182873.01064, 69538.1164551, 1194770.09773
10782.957077, 304.937362671, 1181396.96121, 69338.7985229, 1194164.99138
11399.9843597, 304.937362671, 1193471.90857, 79323.05336, 1206228.01781
12111.1869812, 309.944152832, 1183104.03824, 71640.0146484, 1196361.06491
13204.0977478, 307.083129883, 1182709.93233, 67656.993866, 1195029.97398
11085.9870911, 320.911407471, 1179664.13498, 67978.143692, 1192424.05891
10862.827301, 326.871871948, 1168905.97343, 68856.0009003, 1181885.00404
12326.002121, 385.999679565, 1171192.16919, 68162.2028351, 1187268.01872
11106.0142517, 303.030014038, 1187715.05356, 69159.0309143, 1199779.03366
11466.0263062, 304.937362671, 1176216.12549, 81187.0098114, 1188358.06847
12647.8672028, 308.990478516, 1173681.02074, 77660.0837708, 1186290.97939
12150.0492096, 303.983688354, 1171862.1254, 87213.0393982, 1183920.86029
11929.0351868, 327.825546265, 1166138.17215, 80837.9650116, 1180552.00577
13913.8698578, 322.818756104, 1180718.18352, 83148.0026245, 1193336.96365
12017.0116425, 305.17578125, 1169417.85812, 86146.1162567, 1181800.12703
10811.0904694, 306.129455566, 1171015.97786, 81393.9571381, 1183948.99368
12619.972229, 323.057174683, 1161852.83661, 75289.0110016, 1174853.08647
12392.9977417, 303.983688354, 1169836.99799, 80358.9820862, 1182571.17271
11406.8984985, 308.036804199, 1172283.17261, 78973.7701416, 1185261.9648
11004.9247742, 308.036804199, 1181529.0451, 71053.981781, 1193761.82556
11150.1216888, 322.103500366, 1164310.93216, 78003.8833618, 1177027.94075
11895.8950043, 342.130661011, 1162232.87582, 81779.9568176, 1180793.04695
12302.1602631, 323.057174683, 1168514.01329, 76529.9797058, 1180884.8381
11595.0107574, 303.983688354, 1171472.0726, 76637.9833221, 1183530.8075
11425.9719849, 321.865081787, 1162384.0332, 78117.1321869, 1175113.20114
12414.932251, 304.937362671, 1177164.07776, 79067.9454803, 1190087.08
22160.0532532, 303.030014038, 1172233.10471, 88586.0919952, 1183870.07713
13417.9592133, 305.891036987, 1183063.03024, 92576.0269165, 1194633.96072
16307.1155548, 306.844711304, 1164415.12108, 72865.0093079, 1176868.91556
14252.1858215, 309.944152832, 1162409.06715, 71244.0013885, 1181164.97993
14257.9078674, 308.036804199, 1181452.98958, 75869.0834045, 1193605.18456
13540.9832001, 325.918197632, 1171685.21881, 65091.1331177, 1184653.04375
15564.9185181, 307.79838562, 1173332.21436, 74096.9181061, 1185715.91377
11758.8043213, 316.143035889, 1163193.94112, 71141.0045624, 1175958.87184
